NA	50.683	46.832	46.802	43.126	50.624	46.758	49.186	45.650	49.114	50.882	47.833	47.785	51.012	46.997	49.913	50.660	50.761	48.187	49.736	50.507	50.768	47.148	47.616	126.303	138.279	130.277	130.133	127.166	138.109	130.156	129.314	127.544	138.595	130.455	132.611	131.237	137.357	129.418	127.523	134.239	132.009	134.168	131.862	125.307	130.930	137.958	15.870	
44.862	NA	48.423	46.680	44.385	48.623	47.165	46.533	43.323	50.141	46.513	46.631	47.640	50.400	46.134	49.382	47.466	50.432	47.501	49.611	46.220	49.979	48.042	46.971	125.903	133.053	142.237	130.882	126.108	132.476	142.441	129.983	126.481	131.896	145.160	132.330	128.740	132.248	142.536	132.389	133.851	135.972	128.358	132.537	132.488	141.276	127.275	44.168	
49.185	49.922	NA	47.279	46.082	45.682	46.174	46.141	46.093	51.007	48.815	47.273	51.005	51.006	50.543	50.999	50.993	51.000	50.963	50.998	50.994	50.998	51.005	50.607	129.190	137.838	137.777	139.606	130.117	138.102	137.581	139.829	132.781	132.084	132.176	134.124	132.346	133.406	131.127	132.784	130.011	132.487	131.815	131.592	137.613	138.369	139.504	46.988	
47.690	49.906	50.994	NA	47.513	45.129	50.989	45.681	50.572	50.991	47.686	47.166	51.010	49.493	50.992	50.148	50.992	47.601	50.991	50.299	50.942	49.563	50.912	50.809	136.875	133.501	135.084	132.579	136.897	133.936	133.953	132.624	141.677	132.390	136.604	137.797	137.996	132.944	133.281	137.858	139.242	134.573	133.287	136.570	138.230	134.632	134.594	49.166	
51.001	44.829	48.822	50.996	NA	46.767	46.164	50.996	50.662	50.993	44.115	48.838	51.001	50.946	46.180	50.993	51.002	50.992	47.311	51.001	50.991	50.996	47.511	50.686	143.158	131.799	131.982	140.372	139.178	137.029	143.446	142.590	131.957	138.003	143.855	137.844	130.930	136.214	140.938	138.577	131.903	137.934	141.598	140.450	131.574	138.042	142.183	51.058	
44.961	45.072	46.912	46.458	46.838	NA	46.901	46.662	43.517	50.497	45.462	47.203	47.466	51.004	47.234	48.400	47.528	50.798	48.092	47.640	46.404	50.999	47.908	47.063	135.873	126.774	128.971	132.377	134.616	126.638	128.780	134.557	134.835	128.604	129.040	129.962	132.611	140.266	131.951	137.314	129.847	131.454	132.352	135.602	131.209	131.321	132.977	50.725	
47.760	45.624	50.997	50.996	48.802	45.726	NA	46.213	47.417	46.939	47.315	50.998	50.999	49.015	50.511	51.005	47.417	46.860	50.999	51.005	46.854	48.373	51.000	50.554	135.134	140.229	136.136	132.334	134.418	139.373	136.424	132.207	139.697	138.476	131.960	131.820	136.213	138.904	134.584	132.125	134.024	139.924	133.036	132.732	136.820	140.799	134.264	50.883	
46.745	48.887	50.003	46.237	46.666	45.984	46.810	NA	43.566	47.836	46.304	46.898	47.060	51.006	47.597	49.346	47.121	49.615	49.187	47.558	46.403	51.001	48.493	46.175	130.850	132.029	128.743	138.995	129.930	131.854	128.636	141.017	130.992	132.146	128.932	139.191	134.195	132.145	128.287	138.905	132.706	133.140	128.866	125.507	136.172	129.960	134.195	51.071	
47.627	50.262	47.139	45.494	43.531	45.196	47.020	47.714	NA	47.208	46.433	49.272	47.908	49.510	47.743	50.721	48.760	48.459	48.758	50.989	47.768	50.998	50.994	50.199	133.238	126.094	131.857	136.651	131.883	125.570	131.815	136.584	132.579	127.964	131.859	136.765	136.059	129.045	131.713	137.208	135.305	130.518	137.870	136.782	132.682	136.663	137.534	45.895	
51.001	47.497	47.875	50.994	47.729	46.536	47.074	46.231	46.831	NA	45.260	46.156	51.009	51.005	50.577	49.172	50.994	50.987	50.943	49.165	51.007	50.994	51.006	46.391	137.111	141.348	138.811	138.289	138.255	140.734	139.083	138.752	139.911	138.719	140.030	134.399	138.702	138.267	137.958	134.331	136.981	137.593	138.959	134.695	139.240	137.927	138.401	47.446	
