NA	28.478	28.368	28.516	28.515	28.493	28.519	28.017	84.421	92.782	96.165	97.270	93.504	97.838	86.593	98.815	94.662	96.505	84.809	85.044	96.383	97.859	92.727	98.253	98.881	92.755	91.720	92.993	100.672	94.226	93.925	103.297	98.441	99.614	92.289	93.004	93.550	101.354	93.848	103.325	97.634	98.848	90.839	92.040	100.006	93.842	93.301	101.554	95.688	96.793	98.976	97.048	100.240	97.710	101.169	102.479	95.191	96.620	100.045	97.599	100.323	98.296	101.653	102.332	97.804	98.715	98.266	96.581	96.257	100.159	97.368	97.992	95.304	99.558	96.337	97.037	100.573	98.279	101.616	99.137	98.171	96.178	95.859	100.034	96.915	100.608	100.936	102.181	94.625	99.603	98.963	100.572	97.034	100.694	97.587	98.184	188.788
28.510	NA	28.534	28.513	28.462	28.503	27.517	28.551	96.390	86.463	97.739	87.400	98.419	88.535	94.309	88.933	84.843	97.664	92.528	98.457	94.184	98.710	98.865	100.124	91.941	94.306	100.497	94.180	101.629	94.256	94.730	103.815	91.833	101.617	100.486	102.743	94.112	94.250	94.612	103.581	99.419	92.691	99.897	94.143	93.472	101.808	101.649	95.050	96.772	97.415	100.542	102.086	101.665	98.973	99.091	99.887	96.804	100.722	101.077	98.272	97.970	98.896	99.218	99.812	98.775	97.007	99.272	101.313	100.397	98.751	102.032	98.939	96.831	97.389	100.509	101.832	98.081	98.913	103.548	103.659	95.622	100.492	96.665	97.826	100.801	102.047	98.856	99.126	99.250	100.839	100.215	101.319	98.156	98.604	101.874	98.958	190.075
28.366	28.511	NA	28.325	28.536	27.595	28.555	28.555	91.332	97.354	97.558	87.189	98.494	87.955	94.229	100.108	91.557	92.430	84.811	86.485	93.682	87.830	86.957	94.213	92.178	93.356	93.896	101.539	101.200	94.214	102.077	103.586	98.921	93.131	92.941	101.474	94.169	94.171	94.577	103.539	91.454	92.509	99.650	100.517	100.397	101.456	93.863	102.833	96.906	100.521	100.471	102.391	98.248	98.933	99.005	103.603	99.134	97.244	97.327	98.047	101.165	102.941	98.662	100.077	98.619	100.237	96.178	100.843	100.252	101.031	98.018	98.629	96.630	101.309	97.580	98.722	101.933	103.564	102.277	103.701	95.926	100.148	96.463	97.523	100.673	102.824	101.453	98.976	99.042	97.320	99.973	101.685	100.674	98.852	101.653	99.060	192.671
28.264	28.521	28.130	NA	27.380	28.532	28.536	28.544	92.945	94.296	98.957	88.207	87.842	89.379	95.000	89.603	92.341	87.361	87.104	99.067	87.471	99.167	99.795	89.596	100.614	102.871	102.161	94.955	103.395	103.612	95.810	96.237	100.774	94.207	101.529	103.579	103.510	95.735	103.546	103.571	99.524	100.823	93.512	101.914	102.145	94.392	103.052	95.336	97.647	98.357	98.664	98.988	98.822	103.521	103.500	103.664	97.754	98.426	98.518	103.268	103.544	103.685	103.733	103.606	99.786	97.211	100.541	98.692	101.185	99.050	99.165	100.335	97.511	103.241	101.777	99.345	103.174	100.753	103.572	104.429	99.979	101.151	97.624	102.087	99.033	103.519	99.838	103.705	97.174	98.306	98.014	103.354	101.822	99.028	99.618	100.135	190.169
28.547	28.389	28.529	27.504	NA	28.600	28.582	28.578	94.049	98.729	97.759	87.765	94.258	100.361	99.288	100.487	85.321	97.616	97.872	87.865	99.256	88.861	98.978	96.136	92.397	102.309	94.222	102.836	94.258	103.619	103.590	103.666	100.415	94.351	94.094	94.201	102.161	94.833	103.520	103.797	92.328	93.343	92.713	94.200	94.132	94.249	103.349	103.667	100.270	97.943	98.340	103.026	102.234	100.155	99.907	103.538	97.172	101.474	101.423	103.003	102.255	103.563	99.282	100.523	99.246	97.789	96.942	101.956	97.425	98.897	101.840	103.617	97.404	98.098	97.564	98.840	98.881	103.537	103.483	104.018	96.452	98.072	100.673	102.908	98.531	98.992	102.430	103.553	100.256	97.803	97.827	98.248	101.562	103.548	102.994	100.537	190.698
28.522	28.516	27.555	28.540	28.552	NA	28.547	28.552	87.435	98.989	94.200	100.067	100.289	96.220	96.002	101.774	93.942	88.206	98.533	100.095	98.920	100.672	95.697	100.814	101.845	94.300	94.587	103.540	103.577	96.313	104.116	105.707	101.961	94.251	102.890	103.558	103.588	96.986	103.591	104.779	92.893	101.906	94.190	94.472	95.135	103.573	95.039	96.927	101.254	103.245	99.767	103.619	103.540	101.441	100.396	104.823	101.525	99.485	98.971	103.568	103.511	104.410	100.396	101.853	96.863	101.610	97.726	99.314	103.190	103.548	99.104	103.566	101.268	103.320	99.347	103.545	100.773	103.701	100.913	104.928	100.554	103.468	98.797	99.169	99.726	101.316	103.553	104.826	97.274	98.609	103.060	103.527	103.416	100.253	101.038	100.901	193.954
28.510	27.748	28.541	28.525	28.533	28.616	NA	28.556	87.039	94.191	94.256	100.004	95.742	101.019	96.373	101.504	93.070	94.211	98.210	98.952	98.978	88.774	99.741	89.669	93.938	103.377	94.309	95.021	103.576	95.883	103.558	104.471	101.646	102.803	94.181	94.885	94.789	95.993	95.774	96.837	92.609	94.321	93.984	94.244	94.178	103.588	95.649	96.078	100.889	99.050	99.054	99.355	103.505	103.621	103.586	104.355	101.108	98.846	102.139	103.524	103.693	103.564	103.756	101.344	96.550	97.799	100.894	98.899	98.473	99.772	99.642	100.084	100.769	98.921	99.139	99.401	99.060	103.576	103.609	101.497	97.247	101.974	102.095	103.547	103.454	103.588	100.252	103.641	96.928	103.161	98.798	103.381	103.129	99.766	100.181	100.667	190.162
28.047	28.537	28.535	28.616	28.549	28.543	28.551	NA	98.966	89.527	99.840	101.408	96.052	102.559	90.852	91.816	87.616	94.447	98.899	89.590	100.123	101.674	101.371	97.856	94.477	103.731	95.857	104.434	96.026	97.116	105.308	105.782	94.404	103.579	95.945	97.062	103.618	104.869	96.726	105.758	101.879	94.764	103.381	103.626	103.634	96.970	96.329	104.852	103.428	103.620	100.298	101.111	100.858	104.701	101.229	105.640	99.124	100.171	103.574	100.564	100.906	103.078	101.878	102.856	101.355	103.442	98.640	103.572	103.447	100.676	103.645	101.521	99.862	100.298	100.333	104.703	100.783	101.893	105.300	105.823	99.103	99.395	103.532	100.438	100.548	100.634	103.683	103.285	101.535	103.482	99.217	103.563	100.809	101.158	103.756	103.182	187.082
84.833	96.469	85.082	97.155	92.563	94.238	86.504	94.185	NA	28.517	28.480	28.530	28.528	28.515	28.516	28.314	94.185	90.795	94.646	96.213	96.436	96.968	85.841	86.529	97.642	99.525	91.576	92.886	99.323	101.255	100.352	101.592	90.015	91.234	91.614	99.898	100.187	101.204	92.735	94.243	89.410	98.219	98.603	98.828	91.042	100.049	100.336	100.666	95.011	98.922	95.903	96.901	96.729	100.612	100.970	101.530	97.687	99.405	98.832	99.913	99.401	97.755	97.386	102.095	96.712	97.982	97.755	95.944	96.021	96.568	99.889	100.452	97.698	96.186	96.236	96.500	96.622	100.601	97.917	101.625	94.870	95.933	95.105	95.968	95.957	100.147	99.915	97.370	97.058	98.699	98.856	98.854	96.029	100.238	99.837	98.656	189.969
96.989	97.498	86.187	94.151	94.241	88.045	94.202	100.411	28.498	NA	28.422	28.548	28.516	28.545	27.695	28.550	90.839	96.796	96.472	97.412	94.060	98.253	86.798	94.269	91.450	100.418	92.686	94.181	93.689	102.260	94.353	94.732	98.972	100.361	92.387	101.903	93.632	94.254	102.669	103.539	90.491	91.697	92.337	100.350	92.328	101.189	101.519	94.405	99.451	97.735	97.494	100.983	97.340	102.012	98.794	99.185	96.665	100.432	96.701	98.368	97.359	98.892	98.345	103.502	95.272	98.965	98.865	100.070	96.816	97.344	100.553	98.375	99.126	100.409	100.122	101.057	101.469	98.501	101.703	99.024	95.205	96.843	99.523	101.057	96.786	97.939	97.536	102.436	98.734	99.741	100.087	97.484	100.337	101.326	97.446	98.794	186.736
